Current,N,sigma
0.2,1.050,0.07
0.31,1.220,0.08
0.41,1.470,0.08
0.5,1.460,0.06
0.6,1.350,0.08
0.7,1.739,0.08
0.75,2.249,0.08
0.8,2.589,0.09
1.01,5.408,0.1
1.2,9.417,0.15
1.43,12.776,0.2
1.6,14.416,0.3
1.82,15.265,0.3
1.99,15.784,0.24
2.22,14.106,0.3
2.41,11.946,0.3
2.62,7.168,0.3
2.84,3.919,0.3
3.02,5.328,0.3
3.11,15.075,0.3
3.05,8.427,0.3
3.08,10.547,0.3
3.13,17.765,0.3
3.18,21.604,0.3
3.26,25.302,0.3
3.34,19.614,0.3
3.30,23.303,0.3
3.41,12.696,0.3
3.51,5.458,0.4
3.57,3.229,0.1
3.65,1.540,0.1
3.78,0.810,0.07
3.90,0.790,0.05
4,0.890,0.07
4.16,0.670,0.08
