V,I
-0.16,-0.0008
3.10,0.0263
3.88,0.0353
4.52,0.0432
5.24,0.0530
6.44,0.0722
8.02,0.0974
9.26,0.1191
10.33,0.1344
12.2,0.1687
13.16,0.1822
13.8,0.1920
15.22,0.2123
16.23,0.2271
17.55,0.2443
18.6,0.2555
19.2,0.2697
20.24,0.2630
21.12,0.2614
22.2,0.2531
23.6,0.2011
25.18,0.1435
26.0,0.15
27.6,0.1907
28.3,0.2045
29.66,0.2317
32.04,0.2767
32.43,0.2836
33.01,0.2961
34.5,0.3233
35.60,0.3368
38.27,0.347
39.9,0.3393
41.77,0.3242
42.36,0.3200
43.62,0.3111
45.19,0.3052
46.06,0.3030
47.45,0.3053
49.78,0.3151
50.63,0.3200
51.60,0.3288
53.51,0.3419
54.35,0.3500
56.5,0.3650
57.76,0.3814
60.17,0.3890
62.80,0.4045
65.23,0.4085
67.1,0.4129
69.32,0.4153
71.34,0.4205
73.36,0.4251
75.92,0.4353

