U,I
-0.001,-0.012
0.0001,0.017
0.0009,0.161
0.0026,0.477
0.0035,0.641
0.0055,0.960
0.0072,1.226
0.0087,1.481
0.0101,1.673
0.0116,1.895
0.0134,2.148
0.0150,2.360
0.0167,2.548
0.0182,2.729
0.0244,3.326
0.0271,3.555
0.0310,3.787
0.0323,4.045
0.0385,4.225
0.3824,0.491
0.3937,0.560
0.4055,0.667
0.4216,0.905
0.4327,1.158
0.4472,1.678
0.4551,2.091
0.4868,5.570
0.4875,5.660
0.4507,1.861
0.4376,1.308
0.4324,1.148
0.4204,0.879
0.4118,0.744
0.4037,0.646
0.3929,0.552
0.3817,0.486
0.3692,0.437
0.3444,0.392
0.3298,0.388
0.1589,2.295
0.3238,0.389
0.3174,0.393
0.3667,0.430
0.3440,0.392
0.3270,0.389
0.3125,0.396
0.3056,0.404
0.1603,2.338
0.2199,1.752
0.1787,1.093
0.1991,1.106
0.1835,1.165
0.1987,0.542
0.1854,0.707
0.1384,1.046
