voltage[V],current[A],amp[muV]
0,0,-2.2
0.5,0.05,-3.5
1,0.09,-3.2
1.5,0.14,-3.8
1.9,0.18,-5.8
2.6,0.24,-7.2
3.1,0.29,-8.3
3.5,0.33,-9.5
4.1,0.38,-11.2
4.6,0.43,-13.8
5.1,0.48,-16.3
5.5,0.51,-18.1
6.0,0.56,-21.6
6.6,0.62,-25.3
7.1,0.66,-27.2
7.5,0.7,-32.2
8,0.74,-37.8
8.6,0.79,-39.8
9.1,0.84,-46.2
9.4,0.86,-57.3
10,0.92,-65.7
10.5,0.96,-70.5
11,1.01,-75.1
11.6,1.05,-82.7
12,1.09,-83.8
12.5,1.13,-89.6
13,1.17,-92.3
13.5,1.21,-95.7
14,1.25,-97.3
14.5,1.28,-100.6
15.1,1.34,-104.2
15.6,1.37,-105.1
16.1,1.40,-108
16.6,1.43,-110.6
17.1,1.47,-112.1
17.6,1.51,-116.7
18.0,1.53,-118.0
18.5,1.56,-119.5
19,1.59,-124.8
19.5,1.62,-125
20.1,1.64,-129.1
20.6,1.67,-128.7
21.0,1.71,-140.3
21.6,1.74,-147.0
22,1.76,-148.5
22.5,1.79,-153.6
23,1.82,-156.2
23.5,1.84,-153.2
24.1,1.88,-149.8
24.6,1.89,-148.3
25,1.9,-149.8
25.5,1.92,-151.6
26,1.95,-154.8
26.5,1.97,-155.6
27,1.99,-155.3
27.6,2,-156.2
0.0,0.0,-1.8
-0.5,0.03,-1.3
-1,0.07,-0.8
-1.5,0.1,-0.3
-2.0,0.15,0.3
-2.5,0.18,1.2
-3,0.23,2.2
-3.5,0.26,3.7
-4.1,0.32,5.8
-4.6,0.36,7.2
-5,0.39,6.5
-5.4,0.43,9.6
-6,0.48,13.3
-6.5,0.52,16.6
-7.0,0.57,17.7
-7.5,0.61,19.6
-8,0.65,23.0
-8.5,0.7,30.3
-9.1,0.75,34.1
-9.5,0.79,35.2
-10,0.83,38.8
-10.5,0.87,43.8
-11,0.91,50.3
-11.5,0.96,61.5
-12,1,68.7
-12.5,1.04,75.8
-13,1.08,81.2
-13.6,1.12,85.7
-14,1.15,90.5
-14.4,1.19,94.3
-15,1.23,98.3
-15.6,1.27,101.7
-16,1.3,104.2
-17.1,1.38,110.2
-17.5,1.41,112.5
-18.1,1.45,114.6
-18.6,1.49,117.5
-19,1.51,120.5
-19.5,1.54,122.2
-20.1,1.58,124.7
-20.6,1.61,128
-21,1.64,129.1
-21.5,1.67,130.7
-22,1.68,133.6
-22.5,1.71,134.1
-23,1.73,137.8
-23.5,1.76,140.5
-24,1.79,143.1
-24.5,1.82,145.1
-25.0,1.84,148
-25.5,1.87,149.2
-26.1,1.89,150.3
-26.5,1.92,152.5
-27.1,1.94,153.1
-27.7,1.96,156.6
