voltage[V],current[A],amp[muV]
0,0,-2.2
0.5,-0.05,-3.5
1,-0.09,-19.2
1.5,-0.14,-3.8
1.9,-0.18,-21.8
2.6,-0.24,-7.2
3.1,-0.29,-22.3
3.5,-0.33,-9.5
4.1,-0.38,-26.2
4.6,-0.43,-13.8
5.1,-0.48,-29.3
5.5,-0.51,-18.1
6,-0.56,-32.6
6.6,-0.62,-25.3
7.1,-0.66,-39.2
7.5,-0.7,-32.2
8,-0.74,-49.8
8.6,-0.79,-39.8
9.1,-0.84,-59.2
9.4,-0.86,-53.3
10,-0.92,-68.7
10.5,-0.96,-59.5
11,-1.01,-72.1
11.6,-1.05,-66.7
12,-1.09,-84.8
12.5,-1.13,-78.6
13,-1.17,-96.3
13.5,-1.21,-90.7
14,-1.25,-102.3
14.5,-1.28,-98.6
15.1,-1.34,-112.2
15.6,-1.37,-102.1
16.1,-1.4,-115
16.6,-1.43,-110.6
17.1,-1.47,-122.1
17.6,-1.51,-116.7
18,-1.53,-128
18.5,-1.56,-119.5
19,-1.59,-130.8
19.5,-1.62,-122
20.1,-1.64,-132.1
20.6,-1.67,-128.7
21,-1.71,-140.3
21.6,-1.74,-145
22,-1.76,-150.5
22.5,-1.79,-138.6
23,-1.82,-151.2
23.5,-1.84,-153.2
24.1,-1.88,-145.8
24.6,-1.89,-148.3
25,-1.9,-146.8
25.5,-1.92,-151.6
26,-1.95,-154.8
26.5,-1.97,-155.6
27,-1.99,-155.3
27.6,-2,-156.2
0,0,-1.8
-0.5,0.03,-21.3
-1,0.07,-0.8
-1.5,0.1,-17.3
-2,0.15,0.3
-2.5,0.18,-19.2
-3,0.23,2.2
-3.5,0.26,-17.7
-4.1,0.32,5.8
-4.6,0.36,-13.2
-5,0.39,6.5
-5.4,0.43,-11.6
-6,0.48,13.3
-6.5,0.52,-4.6
-7,0.57,17.7
-7.5,0.61,-1.6
-8,0.65,23
-8.5,0.7,10.3
-9.1,0.75,34.1
-9.5,0.79,15.2
-10,0.83,38.8
-10.5,0.87,20.8
-11,0.91,50.3
-11.5,0.96,45.5
-12,1,68.7
-12.5,1.04,58.8
-13,1.08,81.2
-13.6,1.12,69.7
-14,1.15,90.5
-14.4,1.19,79.3
-15,1.23,98.3
-15.6,1.27,89.7
-16,1.3,104.2
-17.1,1.38,99.2
-17.5,1.41,112.5
-18.1,1.45,104.6
-18.6,1.49,117.5
-19,1.51,110.5
-19.5,1.54,122.2
-20.1,1.58,115.7
-20.6,1.61,128
-21,1.64,120.1
-21.5,1.67,130.7
-22,1.68,125.6
-22.5,1.71,134.1
-23,1.73,130.8
-23.5,1.76,140.5
-24,1.79,138.1
-24.5,1.82,145.1
-25,1.84,143
-25.5,1.87,149.2
-26.1,1.89,150.3
-26.5,1.92,152.5
-27.1,1.94,153.1
-27.7,1.96,156.6

