            Время    Канал: 0    Канал: 1 
                0     -1.9312      0.8276 
                0     -1.8799      0.9253 
                0     -1.8701      1.0059 
                0     -1.8213      1.0962 
                0     -1.7407      1.1743 
                1     -1.6821      1.2451 
                1     -1.5918      1.3135 
                1     -1.4429      1.3940 
                1     -1.3330      1.4526 
                1     -1.2134      1.5137 
                1     -1.1133      1.5820 
                1     -1.0449      1.6333 
                1     -0.9448      1.6919 
                1     -0.8765      1.7432 
                1     -0.8447      1.7920 
                2     -0.7764      1.8311 
                2     -0.7349      1.8726 
                2     -0.6958      1.9507 
                2     -0.6763      1.9922 
                2     -0.6055      2.0605 
                2     -0.5957      2.0898 
                2     -0.5469      2.1704 
                2     -0.5078      2.2095 
                2     -0.5078      2.2900 
                2     -0.4663      2.3389 
                3     -0.4175      2.4292 
                3     -0.4077      2.5098 
                3     -0.3589      2.6074 
                3     -0.3369      2.6880 
                3     -0.2979      2.7368 
                3     -0.2881      2.7979 
                3     -0.2490      2.8564 
                3     -0.2490      2.8979 
                3     -0.1782      2.9565 
                3     -0.1392      3.0176 
                4     -0.1099      3.0566 
                4     -0.1001      3.1055 
                4     -0.0586      3.1763 
                4     -0.0391      3.2251 
                4     -0.0098      3.2666 
                4      0.0293      3.3057 
                4      0.0513      3.3643 
                4      0.0806      3.3960 
                4      0.0903      3.4351 
                4      0.1196      3.4741 
                5      0.1709      3.5034 
                5      0.1709      3.5352 
                5      0.1807      3.5547 
                5      0.2197      3.5840 
                5      0.2686      3.6133 
                5      0.2783      3.6230 
                5      0.2686      3.6426 
                5      0.2881      3.6548 
                5      0.2686      3.6743 
                5      0.2783      3.6646 
                6      0.3101      3.6548 
                6      0.2686      3.6230 
                6      0.3101      3.5742 
                6      0.3003      3.4937 
                6      0.3101      3.3838 
                6      0.3296      3.2861 
                6      0.3198      3.1958 
                6      0.2783      3.0957 
                6      0.2783      3.0078 
                6      0.3003      2.9272 
                7      0.2783      2.8271 
                7      0.3003      2.7368 
                7      0.3003      2.6489 
                7      0.2783      2.5684 
                7      0.2881      2.4780 
                7      0.2783      2.3804 
