time,x,y
0,0.5786,-0.6958
111,0.5371,-0.7959
222,0.5176,-0.8960
333,0.4883,-0.9839
444,0.4077,-1.0840
555,0.3589,-1.1646
666,0.1807,-1.2744
777,0.0610,-1.3330
888,-0.0488,-1.4233
999,-0.1392,-1.4819
1110,-0.2588,-1.5430
1221,-0.3076,-1.6016
1332,-0.3882,-1.6406
1443,-0.4663,-1.7017
1554,-0.5469,-1.7603
1665,-0.5762,-1.8018
1776,-0.6055,-1.8506
1887,-0.6665,-1.8896
1998,-0.6665,-1.9702
2109,-0.6958,-2.0093
2220,-0.7153,-2.0898
2331,-0.7349,-2.1387
2442,-0.7959,-2.2095
2553,-0.8252,-2.2900
2664,-0.8447,-2.3682
2775,-0.8545,-2.4487
2886,-0.9155,-2.5269
2997,-0.9351,-2.5879
3108,-0.9741,-2.6465
3219,-1.0059,-2.6880
3330,-1.0254,-2.7563
3441,-1.0352,-2.8076
3552,-1.0840,-2.8662
3663,-1.0840,-2.9150
3774,-1.1450,-2.9858
3885,-1.1450,-3.0347
3996,-1.2134,-3.0664
4107,-1.1841,-3.1152
4218,-1.2329,-3.1836
4329,-1.2427,-3.2153
4440,-1.2842,-3.2544
4551,-1.2842,-3.2739
4662,-1.3037,-3.3032
4773,-1.3135,-3.3447
4884,-1.3623,-3.3740
4995,-1.3623,-3.3838
5106,-1.4038,-3.4131
5217,-1.3623,-3.4229
5328,-1.4233,-3.4326
5439,-1.4136,-3.4326
5550,-1.4038,-3.4326
5661,-1.4136,-3.4131
5772,-1.4526,-3.3936
5883,-1.4331,-3.3130
5994,-1.4233,-3.1836
6105,-1.4038,-3.0762
6216,-1.4429,-2.9858
6327,-1.4038,-2.8760
6438,-1.4136,-2.7954
6549,-1.4429,-2.7075
6660,-1.3940,-2.6172
6771,-1.4136,-2.5269
6882,-1.3940,-2.4292
6993,-1.3940,-2.3389
7104,-1.3940,-2.2388
7215,-1.3721,-2.1484
7326,-1.4136,-2.0703
7437,-1.4038,-1.9507
7548,-1.3721,-1.8701
7659,-1.4038,-1.7407
7770,-1.3940,-1.6309
7881,-1.3940,-1.5234
7992,-1.4136,-1.4038
8103,-1.3940,-1.2939
8214,-1.4136,-1.1548
8325,-1.4038,-1.0254
8436,-1.4038,-0.8862
8547,-1.3818,-0.7568
8658,-1.3721,-0.6274
8769,-1.3623,-0.5176
8880,-1.3940,-0.3979
8991,-1.3940,-0.2881
9102,-1.3525,-0.1978
9213,-1.3818,-0.1001
9324,-1.3623,0.0293
9435,-1.3428,0.1294
9546,-1.3525,0.2295
9657,-1.3525,0.3394
9768,-1.3428,0.4590
9879,-1.3135,0.5469
9990,-1.3135,0.6567
10101,-1.2744,0.7764
10212,-1.2744,0.8765
10323,-1.2329,0.9668
10434,-1.1548,1.0645
10545,-1.0742,1.1450
10656,-0.9644,1.2158
10767,-0.8447,1.3037
10878,-0.7568,1.3550
10989,-0.6470,1.4429
11100,-0.5762,1.4941
11211,-0.4980,1.5527
11322,-0.3979,1.6138
11433,-0.3271,1.6626
11544,-0.2881,1.7236
11655,-0.2393,1.7822
11766,-0.2075,1.8311
11877,-0.1685,1.8726
11988,-0.1294,1.9312
12099,-0.0781,1.9922
12210,-0.0586,2.0605
12321,-0.0391,2.1118
12432,0.0000,2.1802
12543,0.0098,2.2705
12654,0.0610,2.3706
12765,0.1001,2.4585
12876,0.0903,2.5293
12987,0.1587,2.5879
13098,0.1807,2.6587
13209,0.2295,2.7173
13320,0.2490,2.7686
13431,0.2686,2.8174
13542,0.3101,2.8882
13653,0.3198,2.9370
13764,0.3491,2.9761
13875,0.3882,3.0273
13986,0.3979,3.0762
14097,0.4590,3.1250
14208,0.4590,3.1665
14319,0.4980,3.2349
14430,0.5176,3.2446
14541,0.5371,3.2666
14652,0.5688,3.3057
14763,0.5981,3.3545
14874,0.6372,3.3545
14985,0.6177,3.3838
15096,0.6665,3.4058
15207,0.6885,3.4253
15318,0.6982,3.4351
15429,0.7080,3.4351
15540,0.7080,3.4351
15651,0.7080,3.4253
15762,0.6982,3.4058
15873,0.7178,3.3545
15984,0.6982,3.1958
16095,0.7178,3.0859
16206,0.7275,2.9858
16317,0.7178,2.8979
16428,0.6982,2.7881
16539,0.6885,2.7075
16650,0.6982,2.6196
16761,0.7178,2.5293
16872,0.6763,2.4390
16983,0.7178,2.3291
17094,0.6763,2.2510
17205,0.6665,2.1606
17316,0.6567,2.0605
17427,0.6763,1.9604
17538,0.6763,1.8530
17649,0.6665,1.7627
17760,0.7080,1.6431
17871,0.6567,1.5332
17982,0.6665,1.4136
18093,0.6665,1.2842
18204,0.6665,1.1548
18315,0.6665,1.0156
18426,0.6470,0.8765
18537,0.6470,0.7568
18648,0.6372,0.6274
18759,0.6274,0.5176
18870,0.6372,0.3882
18981,0.6372,0.2881
19092,0.6372,0.1904
19203,0.6372,0.0806
19314,0.6274,-0.0195
19425,0.5981,-0.1294
19536,0.6470,-0.2295
19647,0.6470,-0.3271
19758,0.6274,-0.4370
19869,0.5884,-0.5469
19980,0.5786,-0.6372
20091,0.5786,-0.7764
20202,0.5273,-0.8643
20313,0.4980,-0.9546
20424,0.4297,-1.0547
20535,0.3198,-1.1450
20646,0.2197,-1.2329
20757,0.1001,-1.3232
20868,-0.0098,-1.3940
20979,-0.1099,-1.4722
21090,-0.2393,-1.5234
21201,-0.3076,-1.5918
21312,-0.3882,-1.6309
21423,-0.4468,-1.6821
21534,-0.4883,-1.7505
21645,-0.5566,-1.7822
21756,-0.5762,-1.8506
21867,-0.6372,-1.8896
21978,-0.6958,-1.9507
22089,-0.6860,-1.9995
22200,-0.7153,-2.0605
22311,-0.7471,-2.1289
22422,-0.7959,-2.1997
22533,-0.8252,-2.2681
22644,-0.8545,-2.3389
22755,-0.8643,-2.4292
22866,-0.9253,-2.5073
22977,-0.9155,-2.5684
23088,-0.9448,-2.6367
23199,-1.0059,-2.6880
23310,-0.9937,-2.7466
23421,-1.0645,-2.7856
23532,-1.0645,-2.8369
23643,-1.0742,-2.8955
23754,-1.1133,-2.9565
23865,-1.1548,-2.9956
23976,-1.1450,-3.0444
24087,-1.1646,-3.1055
24198,-1.2036,-3.1543
24309,-1.2231,-3.1958
24420,-1.2329,-3.2349
24531,-1.2744,-3.2544
24642,-1.3135,-3.3032
24753,-1.3135,-3.3350
24864,-1.3428,-3.3643
24975,-1.3721,-3.3643
25086,-1.3721,-3.4033
25197,-1.3721,-3.4131
25308,-1.3940,-3.4229
25419,-1.4233,-3.4326
25530,-1.4429,-3.4229
25641,-1.4331,-3.4229
25752,-1.4429,-3.4033
25863,-1.4233,-3.3643
25974,-1.4331,-3.2153
26085,-1.4331,-3.0957
26196,-1.4526,-3.0054
26307,-1.4331,-2.9053
26418,-1.4429,-2.8174
26529,-1.3940,-2.7271
26640,-1.4429,-2.6465
26751,-1.4331,-2.5488
26862,-1.4136,-2.4683
26973,-1.3940,-2.3682
27084,-1.4331,-2.2583
27195,-1.4038,-2.1704
27306,-1.4136,-2.0703
27417,-1.3940,-1.9800
27528,-1.4136,-1.8896
27639,-1.4233,-1.7822
27750,-1.4136,-1.6821
27861,-1.3940,-1.5527
27972,-1.3818,-1.4429
28083,-1.3940,-1.3135
28194,-1.3721,-1.1938
28305,-1.4038,-1.0645
28416,-1.3721,-0.9253
28527,-1.3818,-0.7959
28638,-1.3721,-0.6665
28749,-1.3721,-0.5371
28860,-1.3721,-0.4468
28971,-1.3623,-0.3174
29082,-1.3721,-0.2075
29193,-1.3623,-0.1196
29304,-1.3232,-0.0098
29415,-1.3525,0.0806
29526,-1.3428,0.2002
29637,-1.3721,0.3101
29748,-1.3330,0.4077
29859,-1.3232,0.5176
29970,-1.3232,0.6274
30081,-1.2939,0.7568
30192,-1.2744,0.8472
30303,-1.2524,0.9570
30414,-1.1743,1.0352
30525,-1.0840,1.1157
30636,-0.9937,1.2061
30747,-0.8643,1.2549
30858,-0.7959,1.3354
30969,-0.6470,1.4136
31080,-0.5469,1.4746
31191,-0.4980,1.5332
31302,-0.4468,1.5942
31413,-0.3369,1.6333
31524,-0.3271,1.7017
31635,-0.2686,1.7627
31746,-0.1978,1.8213
31857,-0.1880,1.8628
31968,-0.1392,1.9214
32079,-0.1294,1.9922
32190,-0.0781,2.0313
32301,0.0000,2.0801
32412,-0.0293,2.1606
32523,0.0098,2.2314
32634,0.0293,2.3291
32745,0.0903,2.4194
32856,0.1099,2.5000
32967,0.1489,2.5684
33078,0.1587,2.6294
33189,0.2002,2.6880
33300,0.2588,2.7490
33411,0.2490,2.8076
33522,0.3003,2.8564
33633,0.3394,2.9175
33744,0.3394,2.9370
33855,0.3589,3.0176
33966,0.4077,3.0469
34077,0.4175,3.1152
34188,0.4688,3.1372
34299,0.4688,3.1860
34410,0.4980,3.2349
34521,0.5371,3.2666
34632,0.5591,3.3057
34743,0.5884,3.3252
34854,0.5981,3.3643
34965,0.6470,3.3740
35076,0.6372,3.4058
35187,0.6763,3.4155
35298,0.6567,3.4253
35409,0.6885,3.4448
35520,0.6763,3.4546
35631,0.6982,3.4253
35742,0.6982,3.4155
35853,0.7178,3.3740
35964,0.6982,3.2666
36075,0.6982,3.1152
36186,0.7178,3.0176
36297,0.7080,2.9077
36408,0.6885,2.8271
36519,0.6885,2.7368
36630,0.6885,2.6489
36741,0.6763,2.5684
36852,0.6982,2.4585
36963,0.6885,2.3706
37074,0.6763,2.2803
37185,0.6763,2.1802
37296,0.6763,2.0801
37407,0.6763,2.0020
37518,0.6885,1.9019
37629,0.6665,1.7920
37740,0.6763,1.6919
37851,0.6763,1.5527
37962,0.6567,1.4429
38073,0.6763,1.3232
38184,0.6665,1.1841
