ts  P  degree
18 9.0 -5
23 9.1 -5
24 9.3 -5
25 9.8 -5
26 1.1 -4
27 1.2 -4
28 1.4 -4
29 1.4 -4
30 1.6 -4
31 1.7 -4
32 1.9 -4
33 2.0 -4
35 2.1 -4
36 2.2 -4
37 2.3 -4
38 2.4 -4
39 2.5 -4
40 2.6 -4
41 2.7 -4
42 2.8 -4
44 2.9 -4
45 3.0 -4
46 3.2 -4
50 3.4 -4
51 3.5 -4
52 3.6 -4
53 3.7 -4
55 3.9 -4
57 4.0 -4
59 4.1 -4
60 4.2 -4
61 4.3 -4
63 4.4 -4
64 4.5 -4
65 4.6 -4
66 4.7 -4
68 4.8 -4
69 4.9 -4
72 5.1 -4
73 5.2 -4
74 5.3 -4
76 5.4 -4
77 5.6 -4
80 5.7 -4
81 5.8 -4
83 6.0 -4
87 6.2 -4
90 6.4 -4
91 6.6 -4
93 6.7 -4
95 6.8 -4
96 6.9 -4
98 7.0 -4
