t (s),V (mV)
0,16.0647
0.999,16.0552
2,16.0434
2.999,16.0299
3.999,16.0155
4.999,15.998
5.999,15.982
6.999,15.9637
8,15.9453
8.999,15.9264
10,15.9062
10.999,15.8865
11.999,15.8664
13,15.8459
13.999,15.8256
15,15.8051
15.999,15.7843
17,15.7631
18,15.7424
19,15.7217
19.999,15.7006
20.999,15.6793
21.999,15.6577
22.999,15.6367
23.999,15.615
25,15.5931
26,15.572
26.999,15.5512
27.999,15.529
29,15.5075
29.999,15.4861
30.999,15.4647
31.999,15.443
32.999,15.4225
34,15.4009
35,15.3798
35.999,15.3584
36.999,15.3363
37.999,15.3155
39,15.294
39.999,15.2724
40.999,15.2513
41.999,15.2297
43,15.2079
43.999,15.1862
45,15.1649
45.999,15.1431
46.999,15.1216
47.999,15.1009
48.999,15.0789
49.999,15.057
50.999,15.0356
51.999,15.0142
52.999,14.9925
53.999,14.9718
54.999,14.9505
55.999,14.9287
56.999,14.9072
57.999,14.8862
58.999,14.8654
59.999,14.8443
60.999,14.8236
61.999,14.8022
62.999,14.7819
63.999,14.7607
64.999,14.7402
65.999,14.7194
67,14.6993
67.999,14.6777
68.999,14.6581
70,14.6375
71,14.6171
72,14.5953
72.999,14.5756
73.999,14.5547
74.999,14.5348
75.999,14.5137
76.999,14.4937
77.999,14.4732
79,14.453
79.999,14.4328
81,14.4122
81.999,14.3918
82.999,14.3717
84,14.3517
84.999,14.3304
86,14.3109
87,14.2903
87.999,14.2701
88.999,14.2493
89.999,14.2299
91,14.2101
91.999,14.1895
93,14.17
93.999,14.1494
94.999,14.1298
95.999,14.11
97,14.0898
97.999,14.0695
98.999,14.0498
100,14.0294
100.999,14.0098
102,13.991
103,13.9711
103.999,13.9506
104.999,13.9305
105.999,13.9113
107,13.8913
107.999,13.8725
108.999,13.853
109.999,13.8332
111,13.8147
111.999,13.7955
113,13.7761
113.999,13.7565
115,13.7382
115.999,13.7197
116.999,13.6999
118,13.6813
118.999,13.6627
119.999,13.6434
121,13.6248
121.999,13.6062
123,13.5869
123.999,13.5684
124.999,13.5502
126,13.5309
127,13.5129
127.999,13.4949
128.999,13.4765
129.999,13.4596
131,13.44
131.999,13.4223
132.999,13.4043
133.999,13.3855
134.999,13.3676
136,13.3489
136.999,13.3308
137.999,13.3125
138.999,13.2941
140,13.2759
140.999,13.258
141.999,13.2396
143,13.2227
143.999,13.2061
144.999,13.1878
146,13.1708
146.999,13.1513
147.999,13.1335
148.999,13.1157
150,13.0978
151,13.0799
151.999,13.0623
152.999,13.0442
153.999,13.0257
154.999,13.0078
155.999,12.9893
