|    |   $1/T$ $[K^{-1}]$ |   $D$[м] |   Время падения[с] |   $ln(\eta)$ |
|---:|-------------------:|---------:|-------------------:|-------------:|
|  0 |         0.00335121 |  0.0021  |              22.3  |    -0.408567 |
|  1 |         0.00328947 |  0.0021  |              16.4  |    -0.715872 |
|  2 |         0.00328947 |  0.00205 |              15.5  |    -0.820509 |
|  3 |         0.00323729 |  0.0021  |              11.1  |    -1.10621  |
|  4 |         0.00323729 |  0.0021  |              11    |    -1.11526  |
|  5 |         0.00318573 |  0.002   |               7.7  |    -1.56951  |
|  6 |         0.00318573 |  0.002   |               7.65 |    -1.57603  |
|  7 |         0.0031348  |  0.002   |               6.3  |    -1.77018  |
|  8 |         0.0031348  |  0.002   |               5.9  |    -1.83578  |
|  9 |         0.00308737 |  0.00205 |               4.2  |    -2.12626  |
| 10 |         0.00308833 |  0.0021  |               4    |    -2.12686  |
