|    |   $1/T$ $[K^{-1}]$ |   $D$[м] |   Время падения[с] |   $ln(\eta)$ |
|---:|-------------------:|---------:|-------------------:|-------------:|
|  0 |         0.00335008 |  0.0008  |              28    |    -0.448285 |
|  1 |         0.00334672 |  0.00075 |              27.1  |    -0.610033 |
|  2 |         0.00328947 |  0.0008  |              21.8  |    -0.69858  |
|  3 |         0.00328947 |  0.00085 |              17.1  |    -0.820162 |
|  4 |         0.00323729 |  0.0007  |              19.4  |    -1.08228  |
|  5 |         0.00323729 |  0.00085 |              12.2  |    -1.1578   |
|  6 |         0.00318573 |  0.0008  |               9.8  |    -1.49811  |
|  7 |         0.0031348  |  0.00085 |               6.3  |    -1.81869  |
|  8 |         0.0031348  |  0.0008  |               8.2  |    -1.67636  |
|  9 |         0.00308928 |  0.0009  |               4.55 |    -2.0298   |
| 10 |         0.00308928 |  0.00075 |               6    |    -2.11781  |
