|    |   Тепмература [K] |   Число Рейнольдса |   Погрешность измерения |   Время релаксации [c] |   Погрешность измерения времени[c] |
|---:|------------------:|-------------------:|------------------------:|-----------------------:|-----------------------------------:|
|  0 |             298.5 |           0.281812 |               0.0112725 |            0.0004342   |                        0.000162825 |
|  1 |             298.8 |           0.320898 |               0.0128359 |            0.00044862  |                        0.000177577 |
|  2 |             304   |           0.464904 |               0.0185962 |            0.000557688 |                        0.000213098 |
|  3 |             304   |           0.71114  |               0.0284456 |            0.000710971 |                        0.000265397 |
|  4 |             308.9 |           0.670911 |               0.0268364 |            0.00062668  |                        0.000268808 |
|  5 |             308.9 |           1.3971   |               0.055884  |            0.000996525 |                        0.000388376 |
|  6 |             313.9 |           2.30051  |               0.0920204 |            0.00124057  |                        0.000522812 |
|  7 |             319   |           5.23922  |               0.209569  |            0.00192978  |                        0.000855787 |
|  8 |             319   |           3.28586  |               0.131434  |            0.00148263  |                        0.000645488 |
|  9 |             323.7 |           9.48639  |               0.379456  |            0.002672    |                        0.00125721  |
| 10 |             323.7 |           6.5464   |               0.261856  |            0.00202627  |                        0.000986116 |
| 11 |             298.4 |           0.892675 |               0.035707  |            0.000921604 |                        0.000180336 |
| 12 |             304   |           1.6505   |               0.06602   |            0.00125316  |                        0.000259364 |
| 13 |             304   |           1.8928   |               0.0757121 |            0.00132592  |                        0.000281406 |
| 14 |             308.9 |           3.60294  |               0.144118  |            0.00185151  |                        0.000420939 |
| 15 |             308.9 |           3.66875  |               0.14675   |            0.00186834  |                        0.000425837 |
| 16 |             313.9 |           7.8616   |               0.314464  |            0.00266906  |                        0.000696382 |
| 17 |             313.9 |           7.9647   |               0.318588  |            0.00268651  |                        0.00070253  |
| 18 |             319   |          11.7439   |               0.469755  |            0.00326219  |                        0.000917037 |
| 19 |             319   |          13.3902   |               0.53561   |            0.00348335  |                        0.00100545  |
| 20 |             323.9 |          25.7792   |               1.03117   |            0.00489328  |                        0.00163308  |
| 21 |             323.8 |          27.7449   |               1.1098    |            0.00513794  |                        0.00174323  |
