|    |   Вязкость [Па$\cdot$c] |   Погрешность [Па$\cdot$c] |   Температура [K] |
|---:|------------------------:|---------------------------:|------------------:|
|  0 |                0.638723 |                  0.0798403 |             298.5 |
|  1 |                0.543333 |                  0.0701788 |             298.8 |
|  2 |                0.497291 |                  0.0656972 |             304   |
|  3 |                0.44036  |                  0.0607673 |             304   |
|  4 |                0.338822 |                  0.0485279 |             308.9 |
|  5 |                0.314175 |                  0.0485199 |             308.9 |
|  6 |                0.223553 |                  0.0383234 |             313.9 |
|  7 |                0.162238 |                  0.0337731 |             319   |
|  8 |                0.187054 |                  0.0346735 |             319   |
|  9 |                0.131362 |                  0.032616  |             323.7 |
| 10 |                0.120295 |                  0.0264649 |             323.7 |
| 11 |                0.664602 |                  0.0667511 |             298.4 |
| 12 |                0.488766 |                  0.05461   |             304   |
| 13 |                0.440208 |                  0.0504801 |             304   |
| 14 |                0.330811 |                  0.0437036 |             308.9 |
| 15 |                0.327831 |                  0.0434979 |             308.9 |
| 16 |                0.208146 |                  0.0334926 |             313.9 |
| 17 |                0.206795 |                  0.033398  |             313.9 |
| 18 |                0.170302 |                  0.0308435 |             319   |
| 19 |                0.159489 |                  0.0300866 |             319   |
| 20 |                0.119282 |                  0.0281719 |             323.9 |
| 21 |                0.119211 |                  0.0290932 |             323.8 |
