N	f/[MHz]	V/[dBV]
0	0.0061	-34.0
1	0.1038	-42.8
2	0.2014	-61.0
3	0.2991	-71.9
4	0.3967	-75.7
5	0.4944	-77.3
6	0.5920	-79.8
7	0.6897	-79.5
8	0.7874	-81.4
9	0.8850	-76.3
10	0.9827	-65.0
11	1.0803	-60.7
12	1.1780	-60.7
13	1.2756	-59.7
14	1.3733	-55.3
15	1.4709	-55.3
16	1.5686	-61.9
17	1.6663	-69.8
18	1.7639	-75.7
19	1.8616	-82.3
20	1.9592	-83.9
21	2.0569	-84.2
22	2.1545	-84.2
23	2.2522	-83.2
24	2.3499	-84.8
25	2.4475	-83.9
26	2.5452	-84.8
27	2.6428	-83.6
28	2.7405	-85.4
29	2.8381	-83.6
30	2.9358	-85.4
31	3.0334	-85.1
32	3.1311	-86.1
33	3.2288	-85.1
34	3.3264	-85.4
35	3.4241	-84.5
36	3.5217	-84.8
37	3.6194	-83.6
38	3.7170	-85.8
39	3.8147	-85.1
40	3.9124	-85.1
41	4.0100	-86.4
42	4.1077	-86.4
43	4.2053	-84.5
44	4.3030	-86.4
45	4.4006	-85.8
46	4.4983	-87.0
47	4.5959	-85.1
48	4.6936	-86.7
49	4.7913	-86.4
50	4.8889	-87.0
51	4.9866	-86.4
52	5.0842	-85.8
53	5.1819	-85.4
54	5.2795	-85.4
55	5.3772	-84.5
56	5.4749	-87.0
57	5.5725	-87.0
58	5.6702	-86.1
59	5.7678	-86.1
60	5.8655	-86.7
61	5.9631	-86.1
62	6.0608	-86.1
63	6.1584	-86.1
64	6.2561	-86.1
65	6.3538	-87.3
66	6.4514	-87.6
67	6.5491	-86.1
68	6.6467	-87.0
69	6.7444	-87.0
70	6.8420	-86.4
71	6.9397	-86.7
72	7.0374	-86.4
73	7.1350	-87.0
74	7.2327	-87.3
75	7.3303	-87.9
76	7.4280	-82.9
77	7.5256	-86.4
78	7.6233	-87.6
79	7.7209	-87.6
80	7.8186	-88.3
81	7.9163	-87.6
82	8.0139	-88.3
83	8.1116	-87.3
84	8.2092	-85.4
85	8.3069	-85.1
86	8.4045	-86.7
87	8.5022	-86.7
88	8.5999	-87.3
89	8.6975	-86.4
90	8.7952	-87.9
91	8.8928	-86.4
92	8.9905	-86.7
93	9.0881	-87.6
94	9.1858	-87.9
95	9.2834	-87.3
96	9.3811	-88.3
97	9.4788	-88.9
98	9.5764	-87.6
99	9.6741	-87.3
100	9.7717	-87.6
101	9.8694	-87.9
102	9.9670	-86.7
103	10.0647	-87.9
104	10.1624	-88.9
105	10.2600	-89.8
106	10.3577	-87.9
107	10.4553	-88.3
108	10.5530	-87.9
109	10.6506	-87.9
110	10.7483	-87.3
111	10.8459	-87.0
112	10.9436	-87.9
113	11.0413	-88.9
114	11.1389	-87.0
115	11.2366	-87.0
116	11.3342	-88.3
117	11.4319	-87.3
118	11.5295	-87.6
119	11.6272	-87.3
120	11.7249	-87.6
121	11.8225	-85.4
122	11.9202	-87.6
123	12.0178	-87.6
124	12.1155	-87.6
125	12.2131	-87.9
126	12.3108	-88.6
127	12.4084	-89.2
128	12.5061	-88.3
129	12.6038	-88.3
130	12.7014	-88.3
131	12.7991	-87.3
132	12.8967	-88.3
133	12.9944	-88.3
134	13.0920	-89.2
135	13.1897	-89.8
136	13.2874	-88.6
137	13.3850	-87.9
138	13.4827	-88.6
139	13.5803	-89.8
140	13.6780	-88.9
141	13.7756	-87.0
142	13.8733	-87.6
143	13.9709	-88.3
144	14.0686	-88.3
145	14.1663	-88.6
146	14.2639	-87.0
147	14.3616	-88.9
148	14.4592	-88.6
149	14.5569	-87.9
150	14.6545	-88.3
151	14.7522	-89.5
152	14.8499	-88.3
153	14.9475	-88.3
154	15.0452	-89.2
155	15.1428	-88.9
156	15.2405	-87.0
157	15.3381	-88.9
158	15.4358	-87.3
159	15.5334	-89.8
160	15.6311	-88.6
161	15.7288	-87.6
162	15.8264	-87.6
163	15.9241	-88.6
164	16.0217	-90.1
165	16.1194	-89.5
166	16.2170	-87.9
167	16.3147	-88.9
168	16.4124	-87.6
169	16.5100	-87.6
170	16.6077	-88.6
171	16.7053	-88.6
172	16.8030	-87.9
173	16.9006	-87.9
174	16.9983	-89.8
175	17.0959	-88.6
176	17.1936	-88.9
177	17.2913	-89.2
178	17.3889	-88.3
179	17.4866	-86.1
180	17.5842	-88.6
181	17.6819	-88.9
182	17.7795	-87.6
183	17.8772	-86.7
184	17.9749	-87.9
185	18.0725	-88.9
186	18.1702	-87.9
187	18.2678	-87.6
188	18.3655	-89.5
189	18.4631	-87.9
190	18.5608	-88.3
191	18.6584	-87.9
192	18.7561	-87.9
193	18.8538	-88.6
194	18.9514	-88.3
195	19.0491	-87.3
196	19.1467	-88.9
197	19.2444	-88.6
198	19.3420	-88.9
199	19.4397	-86.7
200	19.5374	-87.9
201	19.6350	-87.6
202	19.7327	-87.3
203	19.8303	-87.9
204	19.9280	-89.2
205	20.0256	-86.4
206	20.1233	-86.4
207	20.2209	-88.3
208	20.3186	-87.9
209	20.4163	-88.3
210	20.5139	-88.6
211	20.6116	-89.2
212	20.7092	-89.5
213	20.8069	-89.2
214	20.9045	-86.7
215	21.0022	-86.7
216	21.0999	-88.3
217	21.1975	-88.3
218	21.2952	-88.3
219	21.3928	-86.7
220	21.4905	-88.6
221	21.5881	-82.3
222	21.6858	-88.9
223	21.7834	-87.0
224	21.8811	-86.4
225	21.9788	-86.4
226	22.0764	-87.0
227	22.1741	-87.9
228	22.2717	-88.9
229	22.3694	-87.9
230	22.4670	-86.4
231	22.5647	-88.6
232	22.6624	-88.3
233	22.7600	-87.3
234	22.8577	-87.6
235	22.9553	-85.8
236	23.0530	-87.9
237	23.1506	-87.9
238	23.2483	-87.6
239	23.3459	-87.9
240	23.4436	-89.2
241	23.5413	-87.9
242	23.6389	-87.9
243	23.7366	-86.1
244	23.8342	-87.6
245	23.9319	-87.9
246	24.0295	-87.6
247	24.1272	-88.3
248	24.2249	-88.9
249	24.3225	-86.7
