Ampl,Amax,Amin,Freq,Amp
200.00,542.20,456.00,23.00,6.90
200.00,542.20,456.00,24.00,6.70
200.00,542.20,456.00,25.00,294.80
200.00,542.20,456.00,26.00,6.00
200.00,542.20,456.00,27.00,6.20
400.00,608.80,400.00,23.00,12.71
400.00,608.80,400.00,24.00,13.00
400.00,608.80,400.00,25.00,271.50
400.00,608.80,400.00,26.00,12.00
400.00,608.80,400.00,27.00,11.55
700.00,680.00,327.00,23.00,22.41
700.00,680.00,327.00,24.00,22.64
700.00,680.00,327.00,25.00,231.2
700.00,680.00,327.00,26.00,21.03
700.00,680.00,327.00,27.00,19.64
1000,765,262.00,23.00,31.90
1000,765,262.00,24.00,32.50
1000,765,262.00,25.00,191.00
1000,765,262.00,26.00,29.60
1000,765,262.00,27.00,27.50
1500,873,126.00,23.00,48.50
1500,873,126.00,24.00,49.20
1500,873,126.00,25.00,128.00
1500,873,126.00,26.00,44.60
1500,873,126.00,27.00,42.00
2000,1000,0.00,23.00,25
2000,1000,0.00,24.00,25.7
2000,1000,0.00,25.00,53.10
2000,1000,0.00,26.00,25.2
2000,1000,0.00,27.00,24.6
