I_2,I,U
0.3,0,-0.06
0.3,0.2,-0.085
0.3,0.4,-0.11
0.3,0.6,-0.133
0.3,0.8,-0.15
0.3,1,-0.165
0.3,1.2,-0.175
0.3,1.43,-0.182
0.4,0,-0.086
0.4,0.2,-0.122
0.4,0.4,-0.157
0.4,0.6,-0.188
0.4,0.8,-0.216
0.4,1,-0.235
0.4,1.2,-0.248
0.4,1.43,-0.259
0.55,0,-0.118
0.55,0.2,-0.165
0.55,0.4,-0.213
0.55,0.6,-0.26
0.55,0.8,-0.296
0.55,1,-0.321
0.55,1.2,-0.34
0.55,1.42,-0.353
0.75,0,-0.164
0.75,0.2,-0.228
0.75,0.4,-0.297
0.75,0.6,-0.36
0.75,0.8,-0.405
0.75,1,-0.444
0.75,1.2,-0.467
0.75,1.4,-0.485
0.9,0,-0.198
0.9,0.2,-0.275
0.9,0.4,-0.355
0.9,0.6,-0.43
0.9,0.8,-0.49
0.9,1,-0.534
0.9,1.2,-0.562
0.9,1.39,-0.584
