Bias,Current,Resistance
0.0000e+00,1.2532e-08,0.0000e+00
-2.0000e-01,-7.8261e-09,2.5556e+07
-4.0000e-01,-9.1110e-07,4.3903e+05
-6.0000e-01,-5.8468e-05,1.0262e+04
-8.0000e-01,-2.7044e-04,2.9581e+03
-1.0000e+00,-5.4536e-04,1.8337e+03
-1.2000e+00,-8.3776e-04,1.4324e+03
-1.4000e+00,-1.1363e-03,1.2321e+03
-1.6000e+00,-1.4402e-03,1.1110e+03
-1.8000e+00,-1.7434e-03,1.0325e+03
-2.0000e+00,-2.0484e-03,9.7637e+02
-2.2000e+00,-2.3554e-03,9.3402e+02
-2.4000e+00,-2.6630e-03,9.0124e+02
-2.6000e+00,-2.9726e-03,8.7466e+02
-2.8000e+00,-3.2832e-03,8.5283e+02
-3.0000e+00,-3.5952e-03,8.3445e+02
-3.2000e+00,-3.9086e-03,8.1871e+02
-3.4000e+00,-4.2242e-03,8.0489e+02
-3.6000e+00,-4.5416e-03,7.9267e+02
-3.8000e+00,-4.8600e-03,7.8189e+02
-4.0000e+00,-5.1800e-03,7.7220e+02
-4.2000e+00,-5.5002e-03,7.6361e+02
-4.4000e+00,-5.8248e-03,7.5539e+02
-4.6000e+00,-6.1526e-03,7.4765e+02
-4.8000e+00,-6.4816e-03,7.4056e+02
-5.0000e+00,-6.8138e-03,7.3380e+02
-5.2000e+00,-7.1478e-03,7.2750e+02
-5.4000e+00,-7.4840e-03,7.2154e+02
-5.6000e+00,-7.8224e-03,7.1589e+02
-5.8000e+00,-8.1654e-03,7.1031e+02
-6.0000e+00,-8.5162e-03,7.0454e+02
-6.0000e+00,-8.5254e-03,7.0378e+02
-5.8000e+00,-8.1956e-03,7.0770e+02
-5.6000e+00,-7.8628e-03,7.1221e+02
-5.4000e+00,-7.5282e-03,7.1730e+02
-5.2000e+00,-7.1952e-03,7.2270e+02
-5.0000e+00,-6.8648e-03,7.2835e+02
-4.8000e+00,-6.5358e-03,7.3442e+02
-4.6000e+00,-6.2102e-03,7.4072e+02
-4.4000e+00,-5.8844e-03,7.4774e+02
-4.2000e+00,-5.5592e-03,7.5550e+02
-4.0000e+00,-5.2362e-03,7.6391e+02
-3.8000e+00,-4.9128e-03,7.7349e+02
-3.6000e+00,-4.5918e-03,7.8401e+02
-3.4000e+00,-4.2730e-03,7.9569e+02
-3.2000e+00,-3.9554e-03,8.0902e+02
-3.0000e+00,-3.6392e-03,8.2436e+02
-2.8000e+00,-3.3234e-03,8.4251e+02
-2.6000e+00,-3.0090e-03,8.6407e+02
-2.4000e+00,-2.6958e-03,8.9027e+02
-2.2000e+00,-2.3840e-03,9.2282e+02
-2.0000e+00,-2.0734e-03,9.6460e+02
-1.8000e+00,-1.7644e-03,1.0202e+03
-1.6000e+00,-1.4568e-03,1.0983e+03
-1.4000e+00,-1.1502e-03,1.2172e+03
-1.2000e+00,-8.4662e-04,1.4174e+03
