Bias,Current,Resistance
0.0000e+00,2.2393e-08,0.0000e+00
-4.0000e-01,-8.3364e-07,4.7982e+05
-8.0000e-01,-2.6796e-04,2.9855e+03
-1.2000e+00,-8.3606e-04,1.4353e+03
-1.6000e+00,-1.4362e-03,1.1141e+03
-2.0000e+00,-2.0396e-03,9.8058e+02
-2.4000e+00,-2.6482e-03,9.0628e+02
-2.8000e+00,-3.2608e-03,8.5868e+02
-3.2000e+00,-3.8768e-03,8.2542e+02
-3.6000e+00,-4.4930e-03,8.0125e+02
-4.0000e+00,-5.0900e-03,7.8585e+02
-4.4000e+00,-5.7610e-03,7.6376e+02
-4.8000e+00,-6.4108e-03,7.4874e+02
-5.2000e+00,-7.1452e-03,7.2776e+02
-5.6000e+00,-7.8020e-03,7.1776e+02
-6.0000e+00,-8.4630e-03,7.0897e+02
-6.4000e+00,-9.1260e-03,7.0129e+02
-6.8000e+00,-9.7806e-03,6.9525e+02
-7.2000e+00,-1.0405e-02,6.9200e+02
-7.6000e+00,-1.1125e-02,6.8313e+02
-8.0000e+00,-9.9992e-02,8.0006e+01
-8.4000e+00,-9.9992e-02,8.4007e+01
-8.8000e+00,-9.9994e-02,8.8005e+01
-9.2000e+00,-9.9992e-02,9.2007e+01
-9.6000e+00,-9.9992e-02,9.6008e+01
-1.0000e+01,-9.9992e-02,1.0001e+02
-1.0400e+01,-9.9992e-02,1.0401e+02
-1.0800e+01,-9.9990e-02,1.0801e+02
-1.1200e+01,-9.9992e-02,1.1201e+02
-1.1600e+01,-9.9992e-02,1.1601e+02
-1.2000e+01,-9.9992e-02,1.2001e+02
-1.2400e+01,-9.9994e-02,1.2401e+02
-1.2800e+01,-9.9994e-02,1.2801e+02
-1.3200e+01,-9.9994e-02,1.3201e+02
-1.3600e+01,-9.9992e-02,1.3601e+02
-1.4000e+01,-9.9996e-02,1.4001e+02
-1.4400e+01,-9.9996e-02,1.4401e+02
-1.4800e+01,-9.9996e-02,1.4801e+02
-1.5200e+01,-9.9998e-02,1.5200e+02
-1.5600e+01,-9.9998e-02,1.5600e+02
-1.6000e+01,-9.9998e-02,1.6000e+02
-1.6400e+01,-9.9998e-02,1.6400e+02
-1.6800e+01,-9.9998e-02,1.6800e+02
-1.7200e+01,-1.0000e-01,1.7200e+02
-1.7600e+01,-9.9998e-02,1.7600e+02
-1.8000e+01,-9.9998e-02,1.8000e+02
-1.8000e+01,-9.9998e-02,1.8000e+02
-1.7600e+01,-9.9998e-02,1.7600e+02
-1.7200e+01,-9.9998e-02,1.7200e+02
-1.6800e+01,-1.0000e-01,1.6800e+02
-1.6400e+01,-1.0000e-01,1.6400e+02
-1.6000e+01,-9.9998e-02,1.6000e+02
-1.5600e+01,-1.0000e-01,1.5600e+02
-1.5200e+01,-1.0000e-01,1.5200e+02
-1.4800e+01,-1.0000e-01,1.4800e+02
-1.4400e+01,-1.0000e-01,1.4400e+02
-1.4000e+01,-1.0000e-01,1.4000e+02
-1.3600e+01,-1.0000e-01,1.3600e+02
