  Measurement Number     Measurement type
                   3                DC IV

      Measurement ID             SeriesID
       739004.681999                    0

         MeasureMode                Bias1                Bias2
                   2                   -6                    6

                Step  Positive compliance  Negative compliance
                 0.2                  0.1                  0.1

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   1.2374e-08   0.0000e+00
-2.0000e-01   -7.8778e-09   2.5388e+07
-4.0000e-01   -8.9630e-07   4.4628e+05
-6.0000e-01   -2.3950e-05   2.5052e+04
-8.0000e-01   -7.5530e-05   1.0592e+04
-1.0000e+00   -1.4458e-04   6.9166e+03
-1.2000e+00   -2.2792e-04   5.2650e+03
-1.4000e+00   -6.4620e-04   2.1665e+03
-1.6000e+00   -9.5102e-04   1.6824e+03
-1.8000e+00   -1.3576e-03   1.3259e+03
-2.0000e+00   -1.6190e-03   1.2353e+03
-2.2000e+00   -1.9718e-03   1.1157e+03
-2.4000e+00   -2.2576e-03   1.0631e+03
-2.6000e+00   -2.5828e-03   1.0067e+03
-2.8000e+00   -2.9146e-03   9.6068e+02
-3.0000e+00   -3.2360e-03   9.2707e+02
-3.2000e+00   -3.5790e-03   8.9410e+02
-3.4000e+00   -3.9192e-03   8.6752e+02
-3.6000e+00   -4.2468e-03   8.4770e+02
-3.8000e+00   -4.5850e-03   8.2879e+02
-4.0000e+00   -4.9162e-03   8.1364e+02
-4.2000e+00   -5.2690e-03   7.9712e+02
-4.4000e+00   -5.6108e-03   7.8420e+02
-4.6000e+00   -5.9502e-03   7.7308e+02
-4.8000e+00   -6.2982e-03   7.6212e+02
-5.0000e+00   -6.6488e-03   7.5202e+02
-5.2000e+00   -7.0158e-03   7.4118e+02
-5.4000e+00   -7.3840e-03   7.3131e+02
-5.6000e+00   -7.7434e-03   7.2320e+02
-5.8000e+00   -8.1158e-03   7.1466e+02
-6.0000e+00   -8.4902e-03   7.0670e+02
-6.0000e+00   -8.5170e-03   7.0447e+02
-5.8000e+00   -8.1992e-03   7.0739e+02
-5.6000e+00   -7.8732e-03   7.1127e+02
-5.4000e+00   -7.5442e-03   7.1578e+02
-5.2000e+00   -7.2146e-03   7.2076e+02
-5.0000e+00   -6.8866e-03   7.2605e+02
-4.8000e+00   -6.5592e-03   7.3180e+02
-4.6000e+00   -6.2318e-03   7.3815e+02
-4.4000e+00   -5.9060e-03   7.4501e+02
-4.2000e+00   -5.5806e-03   7.5261e+02
-4.0000e+00   -5.2574e-03   7.6083e+02
-3.8000e+00   -4.9344e-03   7.7010e+02
-3.6000e+00   -4.6128e-03   7.8044e+02
-3.4000e+00   -4.2924e-03   7.9210e+02
-3.2000e+00   -3.9732e-03   8.0540e+02
-3.0000e+00   -3.6556e-03   8.2066e+02
-2.8000e+00   -3.3392e-03   8.3852e+02
-2.6000e+00   -3.0232e-03   8.6002e+02
-2.4000e+00   -2.7084e-03   8.8613e+02
-2.2000e+00   -2.3954e-03   9.1843e+02
-2.0000e+00   -2.0832e-03   9.6006e+02
-1.8000e+00   -1.7726e-03   1.0155e+03
-1.6000e+00   -1.4636e-03   1.0932e+03
-1.4000e+00   -1.1554e-03   1.2117e+03
-1.2000e+00   -8.5024e-04   1.4114e+03
-1.0000e+00   -5.5196e-04   1.8117e+03
-8.0000e-01   -2.7160e-04   2.9455e+03
-6.0000e-01   -5.7490e-05   1.0437e+04
-4.0000e-01   -8.8478e-07   4.5209e+05
-2.0000e-01   -7.5819e-09   2.6379e+07
0.0000e+00   1.2884e-08   0.0000e+00
0.0000e+00   1.2612e-08   0.0000e+00
2.0000e-01   1.9532e-08   1.0240e+07
4.0000e-01   2.4377e-08   1.6409e+07
6.0000e-01   2.8199e-08   2.1278e+07
8.0000e-01   3.1379e-08   2.5495e+07
1.0000e+00   3.4081e-08   2.9342e+07
1.2000e+00   3.6453e-08   3.2919e+07
1.4000e+00   3.8682e-08   3.6193e+07
1.6000e+00   4.0503e-08   3.9503e+07
1.8000e+00   4.2245e-08   4.2608e+07
2.0000e+00   4.3869e-08   4.5590e+07
2.2000e+00   4.5297e-08   4.8569e+07
2.4000e+00   4.6640e-08   5.1458e+07
2.6000e+00   4.7899e-08   5.4281e+07
2.8000e+00   4.8986e-08   5.7159e+07
3.0000e+00   5.0095e-08   5.9887e+07
3.2000e+00   5.1102e-08   6.2619e+07
3.4000e+00   5.2094e-08   6.5266e+07
3.6000e+00   5.2938e-08   6.8004e+07
3.8000e+00   5.3793e-08   7.0641e+07
4.0000e+00   5.4575e-08   7.3294e+07
4.2000e+00   5.5286e-08   7.5968e+07
4.4000e+00   5.6034e-08   7.8523e+07
4.6000e+00   5.6678e-08   8.1161e+07
4.8000e+00   5.7305e-08   8.3762e+07
5.0000e+00   5.7984e-08   8.6230e+07
5.2000e+00   5.8617e-08   8.8712e+07
5.4000e+00   5.9193e-08   9.1227e+07
5.6000e+00   5.9686e-08   9.3824e+07
5.8000e+00   6.0228e-08   9.6301e+07
6.0000e+00   6.0709e-08   9.8832e+07
6.0000e+00   6.0769e-08   9.8735e+07
5.8000e+00   6.0277e-08   9.6223e+07
5.6000e+00   5.9763e-08   9.3704e+07
5.4000e+00   5.9276e-08   9.1100e+07
5.2000e+00   5.8749e-08   8.8512e+07
5.0000e+00   5.8094e-08   8.6067e+07
4.8000e+00   5.7479e-08   8.3509e+07
4.6000e+00   5.6862e-08   8.0898e+07
4.4000e+00   5.6212e-08   7.8275e+07
4.2000e+00   5.5586e-08   7.5558e+07
4.0000e+00   5.4781e-08   7.3017e+07
3.8000e+00   5.3969e-08   7.0411e+07
3.6000e+00   5.3172e-08   6.7704e+07
3.4000e+00   5.2257e-08   6.5063e+07
3.2000e+00   5.1337e-08   6.2333e+07
3.0000e+00   5.0309e-08   5.9631e+07
2.8000e+00   4.9294e-08   5.6802e+07
2.6000e+00   4.8199e-08   5.3943e+07
2.4000e+00   4.6957e-08   5.1110e+07
2.2000e+00   4.5651e-08   4.8192e+07
2.0000e+00   4.4157e-08   4.5293e+07
1.8000e+00   4.2584e-08   4.2269e+07
1.6000e+00   4.0866e-08   3.9153e+07
1.4000e+00   3.8941e-08   3.5951e+07
1.2000e+00   3.6797e-08   3.2612e+07
1.0000e+00   3.4388e-08   2.9080e+07
8.0000e-01   3.1664e-08   2.5265e+07
6.0000e-01   2.8498e-08   2.1054e+07
4.0000e-01   2.4620e-08   1.6247e+07
2.0000e-01   1.9743e-08   1.0130e+07
0.0000e+00   1.2694e-08   0.0000e+00
