  Measurement Number     Measurement type
                   3                DC IV

      Measurement ID             SeriesID
       739004.675612                    0

         MeasureMode                Bias1                Bias2
                   2                  -18                    5

                Step  Positive compliance  Negative compliance
                 0.4                  0.1                  0.1

  RealMeasuredPoints
                 120

        Bias        Current     Resistance
0.0000e+00   2.2020e-08   0.0000e+00
-4.0000e-01   -8.4150e-07   4.7534e+05
-8.0000e-01   -2.7472e-04   2.9121e+03
-1.2000e+00   -8.5572e-04   1.4023e+03
-1.6000e+00   -1.4682e-03   1.0898e+03
-2.0000e+00   -2.0846e-03   9.5942e+02
-2.4000e+00   -2.7054e-03   8.8711e+02
-2.8000e+00   -3.3308e-03   8.4064e+02
-3.2000e+00   -3.9596e-03   8.0816e+02
-3.6000e+00   -4.5932e-03   7.8377e+02
-4.0000e+00   -5.2304e-03   7.6476e+02
-4.4000e+00   -5.8698e-03   7.4960e+02
-4.8000e+00   -6.5146e-03   7.3681e+02
-5.2000e+00   -7.1644e-03   7.2581e+02
-5.6000e+00   -7.8202e-03   7.1609e+02
-6.0000e+00   -8.4816e-03   7.0741e+02
-6.4000e+00   -9.1482e-03   6.9959e+02
-6.8000e+00   -9.8236e-03   6.9221e+02
-7.2000e+00   -1.0507e-02   6.8527e+02
-7.6000e+00   -1.1199e-02   6.7863e+02
-8.0000e+00   -1.1916e-02   6.7137e+02
-8.4000e+00   -1.2644e-02   6.6435e+02
-8.8000e+00   -9.9994e-02   8.8005e+01
-9.2000e+00   -9.9994e-02   9.2006e+01
-9.6000e+00   -9.9996e-02   9.6004e+01
-1.0000e+01   -9.9996e-02   1.0000e+02
-1.0400e+01   -9.9996e-02   1.0400e+02
-1.0800e+01   -9.9998e-02   1.0800e+02
-1.1200e+01   -9.9996e-02   1.1200e+02
-1.1600e+01   -9.9998e-02   1.1600e+02
-1.2000e+01   -9.9996e-02   1.2000e+02
-1.2400e+01   -9.9996e-02   1.2400e+02
-1.2800e+01   -1.0001e-01   1.2799e+02
-1.3200e+01   -9.9998e-02   1.3200e+02
-1.3600e+01   -9.9998e-02   1.3600e+02
-1.4000e+01   -1.0000e-01   1.4000e+02
-1.4400e+01   -9.9998e-02   1.4400e+02
-1.4800e+01   -9.9998e-02   1.4800e+02
-1.5200e+01   -9.9998e-02   1.5200e+02
-1.5600e+01   -9.9998e-02   1.5600e+02
-1.6000e+01   -9.9998e-02   1.6000e+02
-1.6400e+01   -1.0000e-01   1.6400e+02
-1.6800e+01   -1.0000e-01   1.6800e+02
-1.7200e+01   -1.0000e-01   1.7200e+02
-1.7600e+01   -1.0000e-01   1.7600e+02
-1.8000e+01   -9.9998e-02   1.8000e+02
-1.8000e+01   -1.0000e-01   1.8000e+02
-1.7600e+01   -1.0000e-01   1.7600e+02
-1.7200e+01   -1.0000e-01   1.7200e+02
-1.6800e+01   -9.9998e-02   1.6800e+02
-1.6400e+01   -1.0000e-01   1.6400e+02
-1.6000e+01   -9.9998e-02   1.6000e+02
-1.5600e+01   -1.0000e-01   1.5600e+02
-1.5200e+01   -9.9998e-02   1.5200e+02
-1.4800e+01   -1.0000e-01   1.4800e+02
-1.4400e+01   -1.0000e-01   1.4400e+02
-1.4000e+01   -1.0000e-01   1.4000e+02
-1.3600e+01   -9.9998e-02   1.3600e+02
-1.3200e+01   -1.0000e-01   1.3200e+02
-1.2800e+01   -9.9998e-02   1.2800e+02
-1.2400e+01   -1.0000e-01   1.2400e+02
-1.2000e+01   -9.9998e-02   1.2000e+02
-1.1600e+01   -1.0000e-01   1.1600e+02
-1.1200e+01   -9.9998e-02   1.1200e+02
-1.0800e+01   -9.9998e-02   1.0800e+02
-1.0400e+01   -9.9998e-02   1.0400e+02
-1.0000e+01   -1.0000e-01   1.0000e+02
-9.6000e+00   -1.0000e-01   9.6000e+01
-9.2000e+00   -1.0000e-01   9.2000e+01
-8.8000e+00   -1.0000e-01   8.7998e+01
-8.4000e+00   -1.0000e-01   8.4000e+01
-8.0000e+00   -9.9992e-02   8.0006e+01
-7.6000e+00   -9.9984e-02   7.6012e+01
-7.2000e+00   -9.9988e-02   7.2009e+01
-6.8000e+00   -9.9988e-02   6.8008e+01
-6.4000e+00   -9.9988e-02   6.4008e+01
-6.0000e+00   -7.9596e-02   7.5381e+01
-5.6000e+00   -4.9230e-02   1.1375e+02
-5.2000e+00   -2.2814e-02   2.2793e+02
-4.8000e+00   -6.8520e-03   7.0053e+02
-4.4000e+00   -5.7568e-03   7.6431e+02
-4.0000e+00   -5.1350e-03   7.7897e+02
-3.6000e+00   -4.5156e-03   7.9724e+02
-3.2000e+00   -3.8980e-03   8.2093e+02
-2.8000e+00   -3.2804e-03   8.5355e+02
-2.4000e+00   -2.6660e-03   9.0023e+02
-2.0000e+00   -2.0552e-03   9.7314e+02
-1.6000e+00   -1.4478e-03   1.1051e+03
-1.2000e+00   -8.4394e-04   1.4219e+03
-8.0000e-01   -2.6952e-04   2.9682e+03
-4.0000e-01   -8.4362e-07   4.7415e+05
0.0000e+00   2.4008e-08   0.0000e+00
0.0000e+00   2.2578e-08   0.0000e+00
3.8450e-01   4.2245e-08   9.1017e+06
7.6925e-01   5.5264e-08   1.3920e+07
1.1538e+00   6.4926e-08   1.7770e+07
1.5385e+00   7.2575e-08   2.1199e+07
1.9230e+00   7.9055e-08   2.4325e+07
2.3077e+00   8.4540e-08   2.7298e+07
2.6923e+00   8.9240e-08   3.0169e+07
3.0770e+00   9.3249e-08   3.2998e+07
3.4615e+00   9.6908e-08   3.5720e+07
3.8463e+00   9.9974e-08   3.8473e+07
4.2308e+00   1.0270e-07   4.1195e+07
4.6155e+00   1.0526e-07   4.3849e+07
5.0000e+00   1.0730e-07   4.6598e+07
5.0000e+00   1.0770e-07   4.6425e+07
4.6155e+00   1.0554e-07   4.3732e+07
4.2308e+00   1.0298e-07   4.1083e+07
3.8463e+00   1.0001e-07   3.8458e+07
3.4615e+00   9.6898e-08   3.5723e+07
3.0770e+00   9.3589e-08   3.2878e+07
2.6923e+00   8.9457e-08   3.0096e+07
2.3077e+00   8.4904e-08   2.7181e+07
1.9230e+00   7.9467e-08   2.4199e+07
1.5385e+00   7.3141e-08   2.1035e+07
1.1538e+00   6.5329e-08   1.7661e+07
7.6925e-01   5.5621e-08   1.3830e+07
3.8450e-01   4.2693e-08   9.0062e+06
0.0000e+00   2.2730e-08   0.0000e+00
